id,left,top,right,bottom,speed,dir,Nov8Fire,Nov9Fire,Nov9Pred,elevation,band1,band2,band3,band4,burnable
154,-121.7802596,39.76175335,-121.7777596,39.75925335,1,0,0,0,0,0,3970.323404,3483.185714,2884.917173,4326.075532,0
155,-121.7802596,39.75925335,-121.7777596,39.75675335,1,0,0,0,0,0,3597.470061,2986.894529,2211.019301,4152.614134,0
156,-121.7802596,39.75675335,-121.7777596,39.75425335,1,0,0,0,0,0,4055.56535,3479.251824,2965.334195,3771.020365,0
157,-121.7802596,39.75425335,-121.7777596,39.75175335,1,0,0,0,0,0,4082.050152,3495.655623,2978.397872,3694.13997,0
158,-121.7802596,39.75175335,-121.7777596,39.74925335,1,0,0,0,0,0,4069.948784,3489.803191,2952.98541,3589.080547,0
159,-121.7802596,39.74925335,-121.7777596,39.74675335,1,0,0,0,0,0,3888.157295,3254.901064,2623.606535,3504.352584,0
160,-121.7802596,39.74675335,-121.7777596,39.74425335,1,0,0,0,0,0,3983.285866,3317.501672,2747.185258,2836.30228,0
161,-121.7802596,39.74425335,-121.7777596,39.74175335,1,0,0,0,0,0,4294.158055,3740.737386,3442.429179,3298.97538,0
162,-121.7802596,39.74175335,-121.7777596,39.73925335,1,0,0,0,0,0,4211.517594,3734.060902,3638.829624,3361.215489,0
163,-121.7802596,39.73925335,-121.7777596,39.73675335,1,0,0,0,0,0,4500.245745,4201.420821,4269.372796,3862.454407,0
164,-121.7802596,39.73675335,-121.7777596,39.73425335,1,0,0,0,0,0,4503.248024,4209.317173,4269.869909,3852.183739,0
165,-121.7802596,39.73425335,-121.7777596,39.73175335,1,0,0,0,0,0,3858.528267,3223.51307,2699.608967,3707.345289,0
166,-121.7802596,39.73175335,-121.7777596,39.72925335,1,0,0,0,0,0,4192.059574,3708.388754,3385.043617,3784.133891,0
167,-121.7802596,39.72925335,-121.7777596,39.72675335,1,0,0,0,0,0,4171.833587,3623.266869,3154.769453,3473.205167,0
168,-121.7802596,39.72675335,-121.7777596,39.72425335,1,0,0,0,0,0,4523.973252,4246.613526,4215.077052,3897.712766,0
169,-121.7802596,39.72425335,-121.7777596,39.72175335,1,0,0,0,0,0,4688.427964,4478.73997,4605.499848,3987.704103,0
170,-121.7802596,39.72175335,-121.7777596,39.71925335,1,0,0,0,0,0,4542.754559,4193.575228,4212.514286,3675.393769,0
171,-121.7802596,39.71925335,-121.7777596,39.71675335,1,0,0,0,0,0,4481.185562,4131.452584,4200.420669,3736.422796,0
172,-121.7802596,39.71675335,-121.7777596,39.71425335,1,0,0,0,0,0,4536.382556,4340.14406,4654.358647,4549.009173,1
173,-121.7802596,39.71425335,-121.7777596,39.71175335,1,0,0,0,0,0,4165.555015,3700.665046,3612.945593,3616.974772,1
174,-121.7802596,39.71175335,-121.7777596,39.70925335,1,0,0,0,0,0,3654.546049,3097.848632,2651.231003,4043.080243,0
175,-121.7802596,39.70925335,-121.7777596,39.70675335,1,0,0,0,0,0,3800.341641,3321.01003,2911.819605,4004.862462,0
176,-121.7802596,39.70675335,-121.7777596,39.70425335,1,0,0,0,0,0,3539.332371,3015.159726,2356.65152,4168.909574,0
177,-121.7802596,39.70425335,-121.7777596,39.70175335,1,0,0,0,0,0,4127.715805,3734.500456,3455.556839,3614.06003,0
178,-121.7802596,39.70175335,-121.7777596,39.69925335,1,0,0,0,0,0,4805.681611,4444.265957,4093.865198,3490.031003,0
179,-121.7802596,39.69925335,-121.7777596,39.69675335,1,0,0,0,0,0,4727.777508,4208.668237,3722.242857,3519.422188,0
180,-121.7802596,39.69675335,-121.7777596,39.69425335,1,0,0,0,0,0,4000.851672,3506.627508,3173.895745,3677.693617,0
181,-121.7802596,39.69425335,-121.7777596,39.69175335,1,0,0,0,0,0,3788.842707,3348.652632,3002.810226,3882.950677,0
182,-121.7802596,39.69175335,-121.7777596,39.68925335,1,0,0,0,0,0,4225.277812,4051.206839,4030.631155,4083.437082,1
183,-121.7802596,39.68925335,-121.7777596,39.68675335,1,0,0,0,0,0,3964.082827,3630.67386,3359.594681,4012.118237,0
184,-121.7802596,39.68675335,-121.7777596,39.68425335,1,0,0,0,0,0,3830.237842,3385.98769,2971.157295,3877.096201,0
185,-121.7802596,39.68425335,-121.7777596,39.68175335,1,0,0,0,0,0,3744.969909,3276.710182,2755.98997,3646.13541,0
186,-121.7802596,39.68175335,-121.7777596,39.67925335,1,0,0,0,0,0,3720.929939,3237.158511,2710.67538,3558.23845,0
187,-121.7802596,39.67925335,-121.7777596,39.67675335,1,0,0,0,0,0,3800.07538,3412.149848,2802.647416,3669.833435,0
188,-121.7802596,39.67675335,-121.7777596,39.67425335,1,0,0,0,0,0,3816.293617,3432.031155,2977.602584,3769.877508,0
189,-121.7802596,39.67425335,-121.7777596,39.67175335,1,0,0,0,0,0,3793.896505,3353.356839,2881.45152,3721.86307,0
190,-121.7802596,39.67175335,-121.7777596,39.66925335,1,0,0,0,0,0,3863.990426,3445.579483,3059.794377,3847.582067,0
191,-121.7802596,39.66925335,-121.7777596,39.66675335,1,0,0,0,0,0,3640.817293,3172.024511,2583.238045,4101.573985,0
192,-121.7802596,39.66675335,-121.7777596,39.66425335,1,0,0,0,0,0,4302.395897,4104.936018,4075.090122,4620.467629,1
193,-121.7802596,39.66425335,-121.7777596,39.66175335,1,0,0,0,0,0,4084.081763,3686.313374,3306.241185,4335.681763,0
194,-121.7802596,39.66175335,-121.7777596,39.65925335,1,0,0,0,0,0,3769.988298,3249.137082,2629.068693,3971.373708,0
195,-121.7802596,39.65925335,-121.7777596,39.65675335,1,0,0,0,0,0,3767.68693,3217.678267,2662.810182,3695.345137,0
196,-121.7802596,39.65675335,-121.7777596,39.65425335,1,0,0,0,0,0,3658.341641,3071.844073,2329.167933,4042.934195,0
197,-121.7802596,39.65425335,-121.7777596,39.65175335,1,0,0,0,0,0,3822.892249,3319.043161,2679.333587,4309.434498,0
198,-121.7802596,39.65175335,-121.7777596,39.64925335,1,0,0,0,0,0,3963.741185,3451.855775,2941.176292,3947.073556,0
199,-121.7802596,39.64925335,-121.7777596,39.64675335,1,0,0,0,0,0,3776.445289,3276.542401,2659.219757,3869.616717,0
200,-121.7802596,39.64675335,-121.7777596,39.64425335,1,0,0,0,0,0,3801.892249,3295.503191,2694.58997,3909.802736,0
201,-121.7802596,39.64425335,-121.7777596,39.64175335,1,0,0,0,0,0,3576.656842,3145.152481,2402.681504,4365.524511,0
202,-121.7802596,39.64175335,-121.7777596,39.63925335,1,0,0,0,0,0,3808.282371,3306.531459,2785.843161,3782.078723,0
203,-121.7802596,39.63925335,-121.7777596,39.63675335,1,0,0,0,0,0,4074.268237,3757.529483,3542.938754,4131.305775,0
204,-121.7802596,39.63675335,-121.7777596,39.63425335,1,0,0,0,0,0,3936.47386,3471.706991,3121.468845,4338.557295,0
205,-121.7802596,39.63425335,-121.7777596,39.63175335,1,0,0,0,0,0,3561.678267,3074.672188,2334.23617,4398.375076,0
