id,band1_norm,band2_norm,band3_norm,band4_norm
16635,0.525504134,0.379007467,0.29613896,0.257426696
16636,0.576087256,0.425414562,0.340392093,0.270188288
16637,0.600795438,0.446344456,0.359846097,0.292987394
16638,0.582844821,0.441460609,0.363891311,0.324292467
16639,0.578087078,0.453696081,0.379828303,0.421703885
16640,0.591619924,0.460961809,0.380619824,0.377010755
16641,0.607943365,0.466852228,0.391101037,0.334848948
16642,0.597623355,0.460027855,0.389829946,0.310712893
16643,0.620154761,0.490612321,0.430628301,0.35233727
16644,0.586989862,0.446094271,0.372256241,0.298260786
16645,0.607612413,0.463553307,0.377349349,0.328399698
16646,0.546315738,0.390208073,0.296721157,0.271585068
16647,0.650889144,0.512982171,0.432532497,0.379429456
16648,0.584373074,0.443209681,0.358169732,0.362789802
16649,0.537977841,0.37613122,0.283870848,0.250222738
16650,0.683274401,0.533487337,0.449782714,0.3554264
16651,0.401529288,0.30177513,0.198650272,0.427461982
16652,0.48147568,0.403225878,0.319630308,0.489049893
